"k","alpha","delta","burnin","iter","perplexity"
15,0.2,0.01,50,300,676.91705332462
15,0.2,0.01,50,300,707.595667611451
15,0.2,0.01,50,300,712.565281201308
15,0.2,0.01,50,300,745.54053337966
15,0.2,0.01,50,300,763.064596055207
15,0.25,0.01,50,300,685.854531984663
15,0.25,0.01,50,300,718.399695654773
15,0.25,0.01,50,300,703.205244934045
15,0.25,0.01,50,300,740.466956411686
15,0.25,0.01,50,300,768.908041183149
15,0.3,0.01,50,300,688.132454223978
15,0.3,0.01,50,300,719.431366655246
15,0.3,0.01,50,300,717.074503168652
15,0.3,0.01,50,300,748.544533949669
15,0.3,0.01,50,300,757.195084716011
15,0.35,0.01,50,300,694.13413569491
15,0.35,0.01,50,300,727.028351842141
15,0.35,0.01,50,300,712.436063171252
15,0.35,0.01,50,300,756.894534513085
15,0.35,0.01,50,300,763.28968618757
15,0.4,0.01,50,300,690.928466996594
15,0.4,0.01,50,300,725.237873026657
15,0.4,0.01,50,300,723.419753826721
15,0.4,0.01,50,300,756.398005191345
15,0.4,0.01,50,300,765.349021482786
15,0.001,0.05,50,300,695.626690942844
15,0.001,0.05,50,300,723.767830970693
15,0.001,0.05,50,300,728.139711793083
15,0.001,0.05,50,300,747.840400486605
15,0.001,0.05,50,300,754.522162451857
15,0.005,0.05,50,300,682.884382237595
15,0.005,0.05,50,300,705.135759388244
15,0.005,0.05,50,300,706.203707418192
15,0.005,0.05,50,300,737.430811225841
15,0.005,0.05,50,300,743.36278568875
15,0.01,0.05,50,300,676.887862992977
15,0.01,0.05,50,300,708.034296267059
15,0.01,0.05,50,300,706.326834696693
15,0.01,0.05,50,300,731.07431398155
15,0.01,0.05,50,300,741.424022749173
15,0.05,0.05,50,300,670.145316187191
15,0.05,0.05,50,300,704.075311397398
15,0.05,0.05,50,300,697.332138896939
15,0.05,0.05,50,300,725.144348412688
15,0.05,0.05,50,300,736.164088250937
15,0.1,0.05,50,300,672.29114939198
15,0.1,0.05,50,300,701.204942328862
15,0.1,0.05,50,300,696.863399630216
15,0.1,0.05,50,300,728.421595967837
15,0.1,0.05,50,300,743.98592547729
15,0.15,0.05,50,300,677.666727581738
15,0.15,0.05,50,300,702.117650950917
15,0.15,0.05,50,300,704.514266934973
15,0.15,0.05,50,300,728.927629106334
15,0.15,0.05,50,300,739.298340043674
15,0.2,0.05,50,300,670.234266326058
15,0.2,0.05,50,300,705.679714454238
15,0.2,0.05,50,300,707.860504179834
15,0.2,0.05,50,300,732.348735444563
15,0.2,0.05,50,300,740.595278900366
15,0.25,0.05,50,300,673.291456067355
15,0.25,0.05,50,300,702.519308511919
15,0.25,0.05,50,300,700.187534922291
15,0.25,0.05,50,300,730.424779214246
15,0.25,0.05,50,300,744.928799538204
15,0.3,0.05,50,300,674.045228194369
15,0.3,0.05,50,300,702.463107964979
15,0.3,0.05,50,300,703.048027571894
15,0.3,0.05,50,300,730.346567194395
15,0.3,0.05,50,300,742.396736360422
15,0.35,0.05,50,300,676.631497455927
15,0.35,0.05,50,300,712.365077085902
15,0.35,0.05,50,300,710.658567053712
15,0.35,0.05,50,300,732.628400947996
15,0.35,0.05,50,300,744.33501074876
15,0.4,0.05,50,300,684.916100205666
15,0.4,0.05,50,300,706.489612155738
15,0.4,0.05,50,300,700.074562581347
15,0.4,0.05,50,300,742.163739984765
15,0.4,0.05,50,300,748.191334739705
15,0.001,0.1,50,300,697.459510971668
15,0.001,0.1,50,300,722.35629208206
15,0.001,0.1,50,300,726.945376682892
15,0.001,0.1,50,300,755.142940271786
15,0.001,0.1,50,300,759.436687822164
15,0.005,0.1,50,300,680.618945617814
15,0.005,0.1,50,300,705.625992032146
15,0.005,0.1,50,300,709.744370342641
15,0.005,0.1,50,300,743.879421129591
15,0.005,0.1,50,300,751.762392794156
15,0.01,0.1,50,300,673.527892950205
15,0.01,0.1,50,300,709.805636746283
15,0.01,0.1,50,300,709.353380742041
15,0.01,0.1,50,300,740.679610839682
15,0.01,0.1,50,300,743.582357144968
15,0.05,0.1,50,300,668.972215047209
15,0.05,0.1,50,300,702.991370076359
15,0.05,0.1,50,300,705.737119148293
15,0.05,0.1,50,300,736.208718379758
15,0.05,0.1,50,300,739.880370925384
15,0.1,0.1,50,300,662.888162740624
15,0.1,0.1,50,300,692.566055645913
15,0.1,0.1,50,300,699.427194517457
15,0.1,0.1,50,300,734.795888249254
15,0.1,0.1,50,300,744.603114174963
15,0.15,0.1,50,300,675.582349697747
15,0.15,0.1,50,300,702.869789861313
15,0.15,0.1,50,300,701.415356603388
15,0.15,0.1,50,300,735.070864370531
15,0.15,0.1,50,300,741.745222874218
15,0.2,0.1,50,300,668.955521700027
15,0.2,0.1,50,300,707.857767278105
15,0.2,0.1,50,300,704.867881855058
15,0.2,0.1,50,300,734.09023140379
15,0.2,0.1,50,300,741.090130293015
15,0.25,0.1,50,300,669.875176373009
15,0.25,0.1,50,300,702.908221916555
15,0.25,0.1,50,300,712.43366599793
15,0.25,0.1,50,300,738.830196122382
15,0.25,0.1,50,300,747.459783367669
15,0.3,0.1,50,300,677.424897254765
15,0.3,0.1,50,300,710.113353941709
15,0.3,0.1,50,300,711.729231724831
15,0.3,0.1,50,300,741.812138645466
15,0.3,0.1,50,300,741.848765643112
15,0.35,0.1,50,300,676.507136651053
15,0.35,0.1,50,300,698.983479303184
15,0.35,0.1,50,300,715.932303040559
15,0.35,0.1,50,300,741.751585704166
15,0.35,0.1,50,300,754.440519396551
15,0.4,0.1,50,300,677.035204188425
15,0.4,0.1,50,300,700.602067827617
15,0.4,0.1,50,300,715.935440796819
15,0.4,0.1,50,300,742.509841218771
15,0.4,0.1,50,300,753.284883275123
15,0.001,0.2,50,300,704.268149666998
15,0.001,0.2,50,300,740.122593799441
15,0.001,0.2,50,300,735.185592022385
15,0.001,0.2,50,300,773.595045633518
15,0.001,0.2,50,300,772.980824761352
15,0.005,0.2,50,300,700.546985085243
15,0.005,0.2,50,300,727.467960757746
15,0.005,0.2,50,300,725.208373974511
15,0.005,0.2,50,300,755.839777300069
15,0.005,0.2,50,300,761.151785079255
15,0.01,0.2,50,300,696.423008352922
15,0.01,0.2,50,300,725.255360955432
15,0.01,0.2,50,300,717.627484868501
15,0.01,0.2,50,300,755.509165315625
15,0.01,0.2,50,300,750.968096683104
15,0.05,0.2,50,300,683.415407941289
15,0.05,0.2,50,300,714.215299990247
15,0.05,0.2,50,300,712.805135753393
15,0.05,0.2,50,300,750.362814563134
15,0.05,0.2,50,300,751.507421373006
15,0.1,0.2,50,300,689.806526869178
15,0.1,0.2,50,300,715.317329014106
15,0.1,0.2,50,300,712.417153354156
15,0.1,0.2,50,300,750.799884378172
15,0.1,0.2,50,300,750.785713961006
15,0.15,0.2,50,300,685.615741422045
15,0.15,0.2,50,300,718.593617791401
15,0.15,0.2,50,300,716.541241005449
15,0.15,0.2,50,300,744.303076931114
15,0.15,0.2,50,300,751.145619855344
15,0.2,0.2,50,300,685.985235681173
15,0.2,0.2,50,300,716.527153996599
15,0.2,0.2,50,300,717.224739446039
15,0.2,0.2,50,300,743.12217071086
15,0.2,0.2,50,300,754.025681822182
15,0.25,0.2,50,300,694.737294848583
15,0.25,0.2,50,300,719.080844360434
15,0.25,0.2,50,300,720.680535708974
15,0.25,0.2,50,300,740.898659916631
15,0.25,0.2,50,300,758.040235322065
15,0.3,0.2,50,300,694.359736607135
15,0.3,0.2,50,300,717.95260221362
15,0.3,0.2,50,300,726.788502744474
15,0.3,0.2,50,300,746.516338219952
15,0.3,0.2,50,300,759.773314363005
15,0.35,0.2,50,300,692.866292520026
15,0.35,0.2,50,300,719.827378631955
15,0.35,0.2,50,300,721.000465425049
15,0.35,0.2,50,300,753.834984696252
15,0.35,0.2,50,300,762.347338188367
15,0.4,0.2,50,300,690.828792686124
15,0.4,0.2,50,300,722.104533056646
15,0.4,0.2,50,300,722.45002080702
15,0.4,0.2,50,300,751.342947416739
15,0.4,0.2,50,300,756.525474133216
20,0.001,0.001,50,300,710.989055814361
20,0.001,0.001,50,300,740.600946433424
